gender,age,mask_YesNo,fully_covering,partially_covering,non_covering,mask_front_touching,mask_strap_touching,face_touching,o_zone_touching,t_zone_touching,in_group,duration_of_observation,change,segment_crowding,study,location,activezone,unique_situation,temp_celcius
Male,18.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,Yes,18.0,0.0,28.0,2.0,0.0,0.0,1.0,17.7
Male,25.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,Yes,23.0,0.0,28.0,2.0,0.0,0.0,1.0,17.7
Male,24.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,Yes,26.0,0.0,28.0,2.0,0.0,0.0,1.0,17.7
Male,20.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,No,13.0,0.0,28.0,2.0,0.0,0.0,1.0,17.7
Male,35.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,No,16.0,0.0,28.0,2.0,0.0,0.0,1.0,17.7
Male,25.0,Yes,No,,Yes,Yes,No,No,99.0,Irrelevant,Yes,16.0,0.0,28.0,2.0,0.0,0.0,1.0,17.7
Female,38.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,Yes,17.0,0.0,28.0,2.0,0.0,0.0,1.0,17.7
Male,40.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,No,17.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,50.0,Yes,No,,Yes,Yes,No,No,99.0,Irrelevant,Yes,42.0,1.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,43.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,Yes,19.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,25.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,Yes,17.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,40.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,Yes,46.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,48.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,No,12.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,57.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,No,10.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,45.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,Yes,Yes,Yes,No,19.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,22.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,Yes,15.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Female,22.0,Yes,No,,Yes,No,No,No,99.0,Irrelevant,Yes,19.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,45.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,Yes,17.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Female,70.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,No,15.0,0.0,9.0,2.0,0.0,1.0,2.0,30.5
Male,60.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,No,13.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,45.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,No,18.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,55.0,Yes,No,,Yes,No,No,No,99.0,Irrelevant,No,11.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,24.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,No,15.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,52.0,Yes,No,,Yes,No,No,No,99.0,Irrelevant,No,29.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,37.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,No,13.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,32.0,No,Irrelevant,,Irrelevant,Irrelevant,Irrelevant,No,99.0,Irrelevant,Yes,17.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Female,26.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,Yes,16.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,61.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,No,12.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,60.0,Yes,Yes,,No,No,No,No,99.0,Irrelevant,No,13.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
Male,25.0,Yes,No,,Yes,No,No,No,99.0,Irrelevant,No,13.0,0.0,11.0,2.0,0.0,1.0,3.0,20.8
